Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
0.334695,0,,,,,,,,,,,,,,,,,
0.335832,0,,,,,,,,,,,,,,,,,
0.336924,0,,,,,,,,,,,,,,,,,
0.338015,0,,,,,,,,,,,,,,,,,
0.339105,0,,,,,,,,,,,,,,,,,
0.340243,0,,,,,,,,,,,,,,,,,
0.341377,0,,,,,,,,,,,,,,,,,
0.342468,0,,,,,,,,,,,,,,,,,
0.343561,0,,,,,,,,,,,,,,,,,
0.34468,0,,,,,,,,,,,,,,,,,
0.345751,0,,,,,,,,,,,,,,,,,
0.346839,0,,,,,,,,,,,,,,,,,
0.34793,0,,,,,,,,,,,,,,,,,
0.349026,0,,,,,,,,,,,,,,,,,
0.350151,0,,,,,,,,,,,,,,,,,
0.351289,0,,,,,,,,,,,,,,,,,
0.352379,0,,,,,,,,,,,,,,,,,
0.353517,0,,,,,,,,,,,,,,,,,
0.354653,0,,,,,,,,,,,,,,,,,
0.35579,0,,,,,,,,,,,,,,,,,
0.356881,0,,,,,,,,,,,,,,,,,
0.358018,0,,,,,,,,,,,,,,,,,
0.359156,0,,,,,,,,,,,,,,,,,
0.360287,0,,,,,,,,,,,,,,,,,
0.361407,0,,,,,,,,,,,,,,,,,
0.362506,0,,,,,,,,,,,,,,,,,
0.36359,0,,,,,,,,,,,,,,,,,
0.364726,0,,,,,,,,,,,,,,,,,
0.365865,0,,,,,,,,,,,,,,,,,
0.366956,0,,,,,,,,,,,,,,,,,
0.368046,0,,,,,,,,,,,,,,,,,
0.369154,0,,,,,,,,,,,,,,,,,
0.370209,0,,,,,,,,,,,,,,,,,
0.371346,0,,,,,,,,,,,,,,,,,
0.372483,0,,,,,,,,,,,,,,,,,
0.373621,0,,,,,,,,,,,,,,,,,
0.374758,0,,,,,,,,,,,,,,,,,
0.375879,0,,,,,,,,,,,,,,,,,
0.377029,0,,,,,,,,,,,,,,,,,
0.378117,0,,,,,,,,,,,,,,,,,
0.379207,0,,,,,,,,,,,,,,,,,
0.380261,0,,,,,,,,,,,,,,,,,
0.381395,0,,,,,,,,,,,,,,,,,
0.382507,0,,,,,,,,,,,,,,,,,
0.383647,0,,,,,,,,,,,,,,,,,
0.384784,0,,,,,,,,,,,,,,,,,
0.385921,0,,,,,,,,,,,,,,,,,
0.387053,0,,,,,,,,,,,,,,,,,
0.388202,0,,,,,,,,,,,,,,,,,
0.389227,0,,,,,,,,,,,,,,,,,
0.390377,0,,,,,,,,,,,,,,,,,
0.391468,0,,,,,,,,,,,,,,,,,
0.392558,0,,,,,,,,,,,,,,,,,
0.393698,0,,,,,,,,,,,,,,,,,
